algorithm,array_size,average_time_ns
selection,100,314726.3333333333
selection,1000,33153496.666666668
selection,10000,3591765516.0
bubble,100,612857.6666666666
bubble,1000,62414206.333333336
bubble,10000,6524377696.666667
insertion,100,258247.33333333334
insertion,1000,24485856.0
insertion,10000,2572373944.3333335
merge,100,112839.33333333333
merge,1000,1447769.6666666667
merge,10000,19451426.0
quick,100,92937.33333333333
quick,1000,1408308.6666666667
quick,10000,23190057.0
selection,100,314612.3333333333
selection,1000,35235981.666666664
selection,10000,3526884379.6666665
bubble,100,583928.3333333334
bubble,1000,64888073.0
bubble,10000,6644963110.0
insertion,100,499046.0
insertion,1000,26381074.0
insertion,10000,2630744558.6666665
merge,100,104648.66666666667
merge,1000,1344109.3333333333
merge,10000,18727256.0
quick,100,98130.33333333333
quick,1000,1280287.3333333333
quick,10000,24278158.666666668
